,Fault,Length,Length_unc,Mw,Mw_sigma,15.9% quantile
0,Alhama de Murcia 1,30.0,3.0,6.595857636920457,0.46183962636332937,6.194034386029777
1,Alhama de Murcia 2,20.0,1.0,6.362194797011899,0.4569264657503464,5.952117015864582
2,Alhama de Murcia 3,8.5,3.5,5.809209273975301,0.5268908427517583,5.295060124635224
3,Alhama de Murcia 4,21.0,4.0,6.379513508578244,0.4677233498856971,5.9537459225838205
4,Carboneras,140.0,5.0,7.474000804297116,0.4613501291838275,7.125176129324094
5,Palomares 1,52.5,7.5,6.916429383094055,0.4692921720769249,6.525251512378836
6,Palomares 2,25.0,1.0,6.491588682326384,0.45787153773250067,6.088728028762758
7,Carrascoy 1,16.0,2.0,6.276334005577537,0.3495851842661844,5.932318228509046
8,Carrascoy 2,23.0,2.0,6.518806882061245,0.3457589661154188,6.177411984507867
9,Los Tollos,15.0,2.0,6.231745935182785,0.35082747141706205,5.886646811393404
10,Ventas Zafarraya,23.0,1.0,6.421078586116935,0.5579363077812399,5.983304339859371
